# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
0.015869,-0.780924,5.067086,0.200002,0.000000,-0.288007,0.110368,-0.056868
0.098098,-0.772626,5.066158,0.198620,0.099770,-0.289026,0.077060,-0.056944
0.180017,-0.767382,5.065235,0.197839,0.199540,-0.289250,0.043510,-0.057235
0.261659,-0.765249,5.064312,0.197687,0.299310,-0.288672,0.009909,-0.057214
0.343821,-0.766202,5.063384,0.198136,0.399080,-0.287295,-0.023543,-0.057193
0.426515,-0.770176,5.062449,0.199170,0.498850,-0.285122,-0.056663,-0.057172
0.593260,-0.786904,5.060556,0.202515,0.598621,-0.278389,-0.121098,-0.057129
0.677153,-0.799490,5.059598,0.204965,0.698391,-0.273837,-0.152053,-0.057108
0.761277,-0.814769,5.058633,0.207938,0.798161,-0.268497,-0.181931,0.024281
0.845563,-0.832649,5.059047,0.211402,0.897931,-0.262380,-0.210599,0.202933
0.929936,-0.853031,5.062527,0.215330,0.997701,-0.255483,-0.237925,0.392163
1.014351,-0.875820,5.069296,0.219697,1.097471,-0.247819,-0.263807,0.591745
1.098757,-0.900917,5.079565,0.224474,1.197241,-0.239397,-0.288351,0.801949
1.183120,-0.928225,5.093545,0.229637,1.297011,-0.230198,-0.311585,1.024181
1.267424,-0.957646,5.111467,0.235159,1.396781,-0.220277,-0.333521,1.257920
1.351632,-0.989077,5.133539,0.241016,1.496551,-0.209683,-0.354181,1.503164
1.435749,-1.022425,5.159967,0.247186,1.596321,-0.198481,-0.373576,1.759800
1.519766,-1.057590,5.190937,0.253648,1.696091,-0.186745,-0.391717,2.027779
1.603696,-1.094476,5.226627,0.260381,1.795862,-0.174540,-0.408615,2.307564
1.687559,-1.132989,5.267212,0.267363,1.895632,-0.161951,-0.424274,2.599349
1.771350,-1.173019,5.312842,0.274574,1.995402,-0.149051,-0.438703,2.903929
1.855100,-1.214475,5.363676,0.281996,2.095172,-0.135915,-0.451907,3.222190
1.938829,-1.257255,5.419867,0.289614,2.194942,-0.122649,-0.463890,3.554260
2.022561,-1.301261,5.481547,0.297416,2.294712,-0.109304,-0.474657,3.902185
2.106339,-1.346401,5.548880,0.305391,2.394482,-0.095940,-0.484212,4.268062
2.190194,-1.392576,5.622029,0.313526,2.494252,-0.082602,-0.492556,4.654695
2.274183,-1.439696,5.701206,0.321810,2.594022,-0.069329,-0.499692,5.065429
2.358351,-1.487664,5.786639,0.330229,2.693792,-0.056163,-0.505624,5.503900
2.442744,-1.536380,5.878591,0.338773,2.793562,-0.043131,-0.510354,5.974965
2.527416,-1.585746,5.977380,0.347430,2.893333,-0.030261,-0.513882,6.484109
2.612430,-1.635668,6.083386,0.356193,2.993103,-0.017570,-0.516211,7.038239
2.697835,-1.686041,6.197041,0.365057,3.092873,-0.005021,-0.517338,7.648500
2.783698,-1.736767,6.318928,0.374015,3.192643,0.007401,-0.517264,-5.581709
2.870077,-1.787743,6.229701,0.383064,3.292413,0.019708,-0.515987,-6.492031
2.957027,-1.838858,6.123690,0.392199,3.392183,0.031913,-0.513506,-5.974881
3.044632,-1.890018,6.023893,0.401421,3.491953,0.044027,-0.509819,-5.511303
3.132926,-1.941099,5.929832,0.410723,3.591723,0.056063,-0.504924,-5.089788
3.221990,-1.991999,5.841119,0.420109,3.691493,0.068030,-0.498821,-4.703902
3.311889,-2.042603,5.757442,0.429576,3.791263,0.079936,-0.491512,-4.351263
3.402671,-2.092785,5.678507,0.439121,3.891033,0.091786,-0.482997,-4.023523
3.494422,-2.142438,5.604099,0.448749,3.990804,0.103558,-0.473279,-3.722381
3.587167,-2.191419,5.533993,0.458455,4.090574,0.115239,-0.462353,-3.442458
3.680980,-2.239610,5.467994,0.468242,4.190344,0.126804,-0.450209,-3.182081
